LocationName,LocationType,Address
George Washington University at Hampton Roads Center,Additional Location,"1 Old Oyster Point Road, Newport News, VA 23602"
George Washington University at Hall of States Building,Additional Location,"444 North Capitol Street, Washington, DC 20001"
George Washington University at The Shakespeare Theatre,Additional Location,"450 7th Street NW, Washington, DC 20004"
George Washington University at American Association for the Advancement of Science,Additional Location,"1200 New York Ave, NW, Washington, DC 20005"
George Washington University at Advanced Technology Center,Additional Location,"1800 College Crescent Road, Virginia Beach, VA 23453"
George Washington University at Booz Allen Hamilton Dulles Campus,Additional Location,"One Dulles Center, 13200 Woodland Park Road, Herndon, VA 20171"
George Washington University at Capital One,Additional Location,"West Creek Town Center, 15075 Capital One Drive, Glen Allen, VA 23238"
George Washington University at College of Jewish Studies,Additional Location,"4928 Wyaconda Road, Rockville, MD 20852"
George Washington University at Children's Guild,Additional Location,"6802 McClean Boulevard, Baltimore, MD 21234"
George Washington University at Fort Sam Houston AHS,Additional Location,"BLDG 2840, San Antonio, TX 78234"
George Washington University at Hanover High School,Additional Location,"10307 Chamberlayne Road, Mechanicsville, VA 23116"
George Washington University at Marshall Road Elementary School,Additional Location,"730 Marshall Road, Vienna, VA 21280"
George Washington University at Arlington Education Center,Additional Location,"3601 Wilson Boulevard, Suite 400, Arlington, VA 22201"
"George Washington University at Lockheed Martin Corporation, Goodyear",Additional Location,"1300 South Litchfield Road, Goodyear, AZ 85338"
"George Washington University at Lockheed Martin Corporation, Littleton",Additional Location,"12999 West Deer Creek Canyon Road, Littleton, CO 80127"
"George Washington University at Lockheed Martin Corporation, Colorado Springs",Additional Location,"9970 Federal Drive, Colorado Springs, CO 80921"
"George Washington University at Lockheed Martin Corporation, Honolulu",Additional Location,"3375 Koapaka Street, Suite I-500, Honolulu, HI 96819"
"George Washington University at Lockheed Martin Corporation, Las Cruces",Additional Location,"2540 North Telshor Boulevard, Suite C, Las Cruces, NM 88011"
"George Washington University at Lockheed Martin Corporation, Fairfax",Additional Location,"3201 Jermantown Rd, Fairfax, VA 22030"
"George Washington University at Lockheed Martin Corporation, Santa Maria",Additional Location,"2050 South Blosser Road, Santa Maria, CA 93458"
"George Washington University at Lockheed Martin Corporation, San Jose",Additional Location,"3130 Zanker Road, San Jose, CA 95134"
"George Washington University at Lockheed Martin Corporation, San Diego",Additional Location,"4770 Eastgate Mall, San Diego, CA 92121"
"George Washington University at Lockheed Martin Corporation, Papillon",Additional Location,"4502 Maass Road, Papillon, NE 68133"
"George Washington University at Lockheed Martin Corporation, Reston",Additional Location,"12355 Sunrise Valley Drive, Reston, VA 20191"
George Washington University at Naval School of Health Science,Additional Location,"34101 Farenholt Ave., San Diego, CA 92134"
George Washington University at Metro Transit Police Headquarters,Additional Location,"600 5th Street, NW, Washington, DC 20001"
George Washington University at Naval Dental School,Additional Location,"8901 Wisconsin Avenue, Building 1, Bethesda, MD 20889"
George Washington University at Naval Surface Warfare Center,Additional Location,"9500 MacArthur Blvd., Cardcrock, MD 20817"
"George Washington University at Naval Surface Warfare Center, Philadelphia",Additional Location,"5001 South Broad St., Philadelphia, PA 19112"
George Washington University at McLean Hilton,Additional Location,"7920 Jones Branch Drive, McLean, VA 22101"
George Washington University at Rock Creek Academy,Additional Location,"4401 Connecticut Avenue, Washington, DC 20008"
George Washington University at Ridge School of Montgomery County,Additional Location,"14901 Broschart Road, Rockville, MD 20850"
George Washington University at SAIC,Additional Location,"1710 SAIC Drive, McLean, VA 22102"
George Washington University at Norfolk Public Schools,Additional Location,"800 City Hall Avenue, Norfolk, VA 23501"
George Washington University at Walter Reed Army Medical Center,Additional Location,"6900 Georgia Avenue, NW, Washington, DC 20307"
George Washington University at Southern Maryland Higher Education Center,Additional Location,"44219 Airport Road, California, MD 20619"
George Washington University at SAIC Corporation,Additional Location,"8301 Greensboro Drive, McLean, VA 22102"
George Washington University at NASA Langley,Additional Location,"11 Langley Blvd, Hampton, VA 23681"
George Washington University at Lord Fairfax Community College,Additional Location,"173 Skirmisher Lane, Middletown, VA 22645"
George Washington University at 1350 G Street,Additional Location,"1310 G Street NW, Washington, DC 20009"
George Washington University at The National Geospatial Intelligence Agency,Additional Location,"National Geospatial Intelligence Agency, Reston, VA 20190-0191"
George Washington University - Georgetown,Additional Location,"1800 35th St NW, Washington, DC 20007"
Cocoran School,Additional Location,"500 17th Street NW, Washingon, DC 20006"
"George Washington University, The - George Washington University Arlington Educa",Additional Location,"950 Glebe Road, Arlington, VA 22203"
Georgetown University,Institution,"37th and O St NW, Washington, DC 20057"
Georgetown University Law Center,Additional Location,"600 New Jersey Avenue, N.W., Washington, DC 20001"
Georgetown University - Downtown Campus,Additional Location,"640 Massachusetts Avenue NW, Washington, DC 20001"
Georgetown University at the Tower Club,Additional Location,"8000 Towers Crescent, Suite 1700, Vienna, VA 22182"
Georgetown University - Convene,Additional Location,"1800 Tysons Blvd, McLean, VA 22102"
Harrison Center for Career Education,Institution,"624 Ninth St NW 4th Fl, Washington, DC 20001"
Howard University,Institution,"2400 Sixth St NW, Washington, DC 20059-0001"
Howard University East Campus,Additional Location,"1400 Shepherd Street NE, Washington, DC 20017"
Howard University West Campus,Additional Location,"2900 Van Ness Street NW, Washington, DC 20008"
Dudley Beauty College,Institution,"2031 Rhode Island Ave NE, Washington, DC 20018-2834"
Southeastern University,Institution,"501 I St SW, Washington, DC 20024-2788"
Strayer University,Institution,"1133 15th St NW, Washington, DC 20005"
Strayer University Arlington Campus,Additional Location,"2121 15th Street North, Arlington, VA 22201"
Strayer University Woodbridge Campus,Additional Location,"13385 Minnieville Road, Woodbridge, VA 22192"
Strayer University Fredericksburg Campus,Additional Location,"150 Riverside Parkway, Fredericksburg, VA 22406"
Strayer University Alexandria Campus,Additional Location,"2730 Eisenhower Avenue, Alexandria, VA 22314"
Strayer University Loudoun Campus,Additional Location,"45150 Russell Branch Parkway, Suite 200, Ashburn, VA 20147"
Strayer University Manassas Campus,Additional Location,"9990 Battleview Parkway, Manassas, VA 20109"
Strayer University Takoma Park Campus,Additional Location,"6830 Laurel Street, NW, Washington, DC 20012"
Strayer University Prince Georges Campus,Additional Location,"5110 Auth Way, Suitland, MD 20746-4207"
Strayer University Henrico Campus,Additional Location,"11501 Nuckols Road, Glen Allen, VA 23059"
Strayer University Anne Arundel Campus,Additional Location,"1520 Jabez Run, Millersville, MD 21108"
Strayer University White Marsh Campus,Additional Location,"9920 Franklin Square Drive, 2nd floor, Baltimore, MD 21236"
Strayer University Chesterfield Campus,Additional Location,"15521 Midlothian Turnpike, Midlothian, VA 23113"
Strayer University Chesapeake Campus,Additional Location,"676 Independence Parkway, Suite 300, Chesapeake, VA 23320"
Strayer University Newport News Campus,Additional Location,"813 Diligence Drive, Suite 100, Newport News, VA 23606"
Strayer University Owings Mills Campus,Additional Location,"500 Redland Court, Suite 100, Owings Mills, MD 21117"
Strayer Online Distance Learning Center,Additional Location,"8540 Cinderbed Road, Suite 1500, Lorton, VA 22122"
Strayer University Cary/RTP Campus,Additional Location,"4 Copley Parkway, Morrisville, NC 27560"
Strayer University North Charlotte Campus,Additional Location,"8335 IBM Drive, Suite 150, Charlotte, NC 28262"
Strayer University South Charlotte Campus,Additional Location,"9101 Kings Parade Boulevard, Suite 200, Charlotte, NC 28273"
Strayer University Nashville Campus,Additional Location,"1809 Dabbs Avenue, Nashville, TN 37210-3850"
Strayer University Thousand Oaks Campus,Additional Location,"2620 Thousand Oaks Boulevard, Suite 1100, Memphis, TN 38118"
Strayer University North Raleigh Campus,Additional Location,"3200 Spring Forest Road, Suite 3214, Raleigh, NC 27616"
Strayer University Lower Bucks County Campus,Additional Location,"3800 Horizon Boulevard, Trevose, PA 19053"
Strayer University Delaware County Campus,Additional Location,"760 W. Sproul Road, Suite 200, Springfield, PA 19064"
Strayer University - Birmingham Campus,Additional Location,"3570 Grandview Parkway, Suite 200, Birmingham, AL 35243"
Strayer University - Baymeadows Campus,Additional Location,"8375 Dix Ellis Trail, Hamilton Building, Suite 200, Jacksonville, FL 33410-4269"
Strayer University - Augusta,Additional Location,"1130 Augusta West Parkway, Augusta, GA 30909"
"Strayer University - Bloomington, Minnesota Campus",Additional Location,"1600 West 82nd Street, Bloomington, MN 55431"
Strayer University at AT&T,Additional Location,"3033 Chain Bridge Rd, Oakton, VA 22185"
Strayer University - Christiana Campus,Additional Location,"240 Continental Drive, Suite 108, Newark, DE 19713"
Strayer University - Cherry Hill Campus,Additional Location,"2201 Route 38, Suite 100, Cherry Hill Campus, NJ 08002"
"Strayer University - Cincinnati, Ohio Campus",Additional Location,"2135 Dana Avenue, Cincinnati, OH 45207"
Strayer University - Charleston Campus,Additional Location,"5010 Wetland Crossing, North Charleston, SC 29418"
Strayer University - Cedar Hill Campus,Additional Location,"610 Uptown Boulevard, 3rd Floor, Cedar Hill, TX 75104"
Strayer University - Coral Springs,Additional Location,"5830 Coral Ridge Drive, Heron Bay Corporate Center, Building IV, 3rd Floor, Coral Springs, FL 33076"
Strayer University - Douglasville Campus,Additional Location,"4655 Timber Ridge Drive, Douglasville, GA 30135"
Strayer University - Columbus Campus,Additional Location,"6003 Veterans Parkway, Columbus, GA 31909"
Strayer University - Downers Grove Campus,Additional Location,"1431 Opus Place, Downers Grove, IL 60515"
Strayer University - Columbia Campus,Additional Location,"200 Center Point Circle, Suite 300, Columbia, SC 29210"
Strayer University - Dallas Campus,Additional Location,"One Panorama Center 770, Las Colinas Ridge, Suite , Irving, TX 75063"
Strayer University - Fort Lauderdale Campus,Additional Location,"2307 W. Broward Boulevard, Suite 100, Fort Lauderdale, FL 33301"
"Strayer University - Frederick, Maryland Campus",Additional Location,"7211 Bank Court, Frederick, MD 21703"
Strayer University - Garner Campus,Additional Location,"1812 Garner Station Boulevard, Raleigh, NC 27603"
Strayer University - Greensboro Campus,Additional Location,"4900 Koger Boulevard, Suite 400, Greensboro, NC 27407"
Strayer University - Fairborn Campus,Additional Location,"2600 Paramount Place, Fairborn, OH 45324"
Strayer University at GSA-Federal Supply Services,Additional Location,"2200 Crystal Drive, Crystal Plaza #4, Room L120 (Lobby Level), Arlington, VA 22202"
Strayer University - Huntsville,Additional Location,"4955 Corporate Drive, Huntsville, AL 35805"
Strayer University - Huntersville Campus,Additional Location,"13620 Reese Boulevard, Suite 130, Huntersville, NC 28078"
Strayer University - Houston Northwest Houston Campus,Additional Location,"10940 West Sam Houston Parkway North, Suite #86, Houston, TX 77064"
Strayer University - Houston Katy Campus,Additional Location,"4511 Old Katy Road, Houston, TX 77079"
"Strayer University at HSBC, North America",Additional Location,"1421 Kristina Way, Chesapeake, VA 23320"
Strayer University at Honey Creek Corporate Center IV,Additional Location,"9000 W. Chester, Milwaukee, WI 53214"
Strayer University - Little Rock Campus,Additional Location,"Two Financial Centre, 10825 Financial Centre Parkw, Little Rock, AR 72211"
"Strayer University - Indianapolis Campus, Capitol Avenue",Additional Location,"201 South Capitol Avenue, Indianapolis, IN 46225"
Strayer University - Lexington Site,Additional Location,"220 Lexington Green Circle, Suite 550, Lexington, KY 40503"
Strayer University - Jackson Campus,Additional Location,"Briarwood One Office Center, 460 Briarwood Drive, Jackson, MS 39206"
Strayer University - Lawrenceville,Additional Location,"3150 Brunswick Pike, Crossroads Corporate Center, Lawrenceville, NJ 08648"
Strayer University - Knoxville Campus,Additional Location,"10118 Parkside Drive, Suite 200, Knoxville, TN 37922"
Strayer University - Miami Doral Campus,Additional Location,"11430 NW 20th Street, Miami, FL 33172"
Strayer University - Miami Brickell Campus,Additional Location,"1201 Brickell Avenue, Miami, FL 33131"
Strayer University - Miramar,Additional Location,"3151 SW 160th Avenue, Miramar, FL 33027"
Strayer University - Maitland Campus,Additional Location,"901 N. Lake Destiny Drive, Suite 370, Maitland, FL 32751"
Strayer University - Louisville Site,Additional Location,"2650 Eastpoint Parkway, Louisville, KY 40223"
Strayer University - Metairie Campus,Additional Location,"Heritage Plaza, 111 Veterans Boulevard, 7th floor, Metairie, LA 70005"
Strayer University - Palm Beach Garden Campus,Additional Location,"11025 RCA Center Drive, Garden Station West Building, Suites 200 and 301, Palm Beach Gardens, FL 33410"
Strayer University - Orlando Site,Additional Location,"2200 North Alafaya Trail, Suite 500, Orlando, FL 32826"
Strayer University - Morrow Campus,Additional Location,"Southlake Corporate Center, 3000 Corporate Center, Suite 100, Morrow, GA 30260"
Strayer University - North Indianapolis Campus,Additional Location,"9025 North River Road, Indianapolis, IN 46240"
Strayer University - Penn Center West Campus,Additional Location,"One Penn Center West, Suite 320, Pittsburgh, PA 15276"
Strayer University - North Dallas Campus,Additional Location,"8111 LBJ Freeway, 15th Floor, Dallas, TX 75251"
Strayer University - Roswell Campus,Additional Location,"100 Mansell Court East, Suite 100, Roswell, GA 30076"
Strayer University - Savannah Campus,Additional Location,"14-20 Martin Court, Savannah, GA 31419"
Strayer University - Piscataway,Additional Location,"242 Old New Brunswick Road, Piscataway, NJ 08854"
Strayer University - Philadelphia Campus,Additional Location,"1601 Cherry Street, Suite 100, Philadelphia, PA 19102"
Strayer University - Plano Campus,Additional Location,"2701 N. Dallas Parkway, Suite 300, Plano, TX 75093-8777"
Strayer University - Sandy,Additional Location,"9815 South Monroe Street, 2nd Floor, Sandy, UT 84070"
Strayer University - Stonecrest/Lithonia Campus,Additional Location,"3120 Stonecrest Boulevard, Lithonia, GA 30038"
Strayer University - Schaumburg Campus,Additional Location,"1101 Perimeter Drive, Suite 300, Schaumberg, IL 60173"
Strayer University - South Raleigh Campus,Additional Location,"3421 Olympia Drive, Second Floor, Raleigh, NC 27603"
Strayer University - Shelby Campus,Additional Location,"7275 Appling Farms Parkway, Memphis, TN 38133"
Strayer University - Austin,Additional Location,"Building I, Reunion Park, 8501 N. MoPac Expressway, 1st floor, Austin, TX 78759"
"Strayer University - St. Louis Park, Minnesota Campus",Additional Location,"6465 Wayzata Boulevard, St. Louis Park, MN 55426"
Strayer University - Cobb Campus,Additional Location,"3101 Towercreek Parkway, Suite 700, Atlanta, GA 30339"
Strayer University - Chamblee Campus,Additional Location,"3355 Northeast Expressway, Suite 100, Atlanta, GA 30341"
Strayer University - Fairview Park Campus,Additional Location,"22730 Fairview Center Drive, Fairview Park, OH 44126"
Strayer University - Akron Campus,Additional Location,"51 Park West Blvd., Akron, OH 44320"
Strayer University - Allentown Campus,Additional Location,"3800 Sierra Circle, Suite 300, Center Valley, PA 18034"
Strayer University Columbus Campus,Additional Location,"8425 Pulsar Place, Columbus, OH 43240"
Strayer University Florence Campus,Additional Location,"410 Meijer Drive, Florence, KY 41042"
Strayer University North Charlotte Campus,Additional Location,"7870 Commons Park Circle NW, Concord, NC 28027"
Strayer University Mason Campus,Additional Location,"4605 Duke Drive, Mason, OH 45040"
Strayer University King of Prussia Campus,Additional Location,"234 Mall Boulevard, Suite G50, King of Prussia, PA 19406"
Strayer University Greenville Campus,Additional Location,"555 North Pleasantburg Drive, Suite 300, Greenville, SC 29607"
Strayer University Newport News Campus,Additional Location,"99 Old Oyster Point Road, Newport News, VA 23602"
Strayer University Washington Campus,Additional Location,"1133 15th Street, NW, Suite 200, Washington, DC 20005"
Strayer University - Tampa Westshore Campus,Additional Location,"4902 Eisenhower Boulevard, Suite 100, Tampa, FL 33634"
Strayer University - Tampa East Campus,Additional Location,"5650 Breckenridge Park Drive, Suite 300, Tampa, FL 33610"
Strayer University Sand Lake Campus,Additional Location,"8541 South Park Circle, Orlando, FL 32819"
Strayer University Raleigh,Additional Location,"8701 Wadford Drive, Raleigh, NC 27616"
Strayer University at U.S. Coast Guard Engineering Logistics C,Additional Location,"2401 Hawkins Pt Rd, Baltimore, MD 21226"
"Strayer University at U.S. Coast Guard, Training Center Yorktown",Additional Location,"End of Route 238, Yorktown, VA 23690"
Strayer University at Teays Valley Business Park,Additional Location,"Corporate Center Drive, Scott Depot, WV 25560"
Strayer University at Burlington County College,Additional Location,"300 Willingboro Parkway, Suite 125, Willingboro, NJ 08046"
Strayer University - Warrendale Campus,Additional Location,"800 Warrendale Village Drive, Warrendale, PA 15086"
Strayer University - Virginia Beach Campus,Additional Location,"249 Central Park Avenue, Suite 350, Virginia Beach, VA 23462"
"Strayer University at Verizon Wireless, Chandler",Additional Location,"6955 West Morelos Place, Chandler, AZ 85226"
"Strayer University at Verizon Wireless, Atlanta",Additional Location,"4151 Ashford Dunwoody Road, Atlanta, GA 30004"
"Strayer University at Verizon Wireless, Alpharetta",Additional Location,"Two Verizon Wireless, Alpharetta, GA 30319"
"Strayer University at Verizon Wireless, Albuquerque",Additional Location,"7000 Central Avenue Ave, SW, Albuquerque, NM 78121"
"Strayer University at Verizon Wireless, Columbia",Additional Location,"3400 Forest Drive, Suite 2100, Columbia, SC 29204"
"Strayer University at Verizon Wireless, Bellevue",Additional Location,"3245 158th Avenue, SE, Bellevue, WA 98008"
"Strayer University at Verizon Wireless, Hanover",Additional Location,"7401 Coca-Cola Drive, Hanover, MD 21076"
"Strayer University at Verizon Wireless, Hilliard",Additional Location,"5000 Britton Parkway, Hilliard, OH 43026"
Strayer University at Warrendale,Additional Location,"300 Allegheny Drive, Warrendale, PA 15086"
"Strayer University at Verizon Wireless, Greenville",Additional Location,"701 Brookfield Parkway, Greenville, SC 29607"
"Strayer University at Verizon Wireless, Franklin",Additional Location,"455 Duke Street, Franklin, TN 37067"
"Strayer University at Verizon Wireless, El Paso",Additional Location,"11950 Don Haskins Drive, El Paso, TX 79936"
"Strayer University at Verizon Wireless, Huntsville",Additional Location,"475 Quality Circle, Huntsville, AL 35806"
"Strayer University at Verizon Wireless, Irvine",Additional Location,"15505 Sand Canyon Avenue, Irvine, CA 96218"
"Strayer University at Verizon Wireless, Lincoln",Additional Location,"4600 Innovation Drive, Lincoln, NE 68521"
"Strayer University at Verizon Wireless, North Charleston",Additional Location,"2401 Mall Drive, North Charleston, SC 29406"
"Strayer University at Verizon Wireless, Murfreesboro",Additional Location,"300 River Rock Blvd., Murfreesboro, TN 37128"
"Strayer University at Verizon Wireless, Houston",Additional Location,"5959 Corporate Drive, Suite 1600, Houston, TX 77036"
"Strayer University at Verizon Wireless, Rancho Cordova",Additional Location,"10734 International Drive, Rancho Cordova, CA 95670"
"Strayer University at Verizon Wireless, Wallingford",Additional Location,"20 Alexander Drive, Wallingford, CT 06492"
"Strayer University at Verizon Wireless, Tampa",Additional Location,"6550 W. Hillsborough Ave., Tampa, FL 33634"
"Strayer University at Verizon Wireless, Wilmington NC",Additional Location,"3601 Converse Drive, Wilmington, NC 28403"
"Strayer University at Verizon Wireless, Youngstown",Additional Location,"474 Boardman Canfield Road, Youngstown, OH 44512"
"Strayer University at Verizon Wireless, West Valley City",Additional Location,"2777 South Corporate Park Drive, West Valley City, UT 84120"
"Strayer University at Verizon Wireless, Columbia, South Carolina",Additional Location,"501 Spears Creek Church Road, Elgin, SC 29045"
Strayer University Rockville Campus,Additional Location,"4 Research Place, Rockville, MD 20850"
Strayer University-Kansas City Campus,Additional Location,"10450 Holmes Road, Kansas City, MO 64131"
"Strayer University at Verizon Wireless, Little Rock",Additional Location,"1 Allied Drive, Little Rock, AR 72202"
Strayer University - Chicago Campus,Additional Location,"100 S. Wacker Drive, Chicago, IL 60606"
Strayer University - Aurora Campus,Additional Location,"2245 Sequoia Drive, Aurora, IL 60506"
"Strayer University at Verizon Wireless, Laurel",Additional Location,"7600 Montpelier Road, Laurel, MD 20723"
Strayer University - Kansas City,Additional Location,"901 E. 104th Street, Kansas City, MO 64131"
Strayer University - St. Louis,Additional Location,"Center 40, 1600 S. Brentwood, St. Louis, MO 63144"
"Strayer University - Stafford, TX Campus",Additional Location,"12603 Southwest Freeway, Suite 400, Stafford, TX 77477"
"Strayer University - San Antonio, TX Campus",Additional Location,"40 NE Loop 410, Suite 500, San Antonio, TX 78216"
Strayer University at Indian River State College,Additional Location,"3209 Virginia Avenue, Ft. Pierce, FL 34981"
"Strayer University at Verizon Wireless, Mankato",Additional Location,"2000 Technology Drive, Mankato, MN 55001"
"Strayer University at Verizon Wireless, Bangor ME",Additional Location,"6 Telecom Drive, Bangor, ME 04401"
Strayer University at Verizon Wireless Charlotte,Additional Location,"10100 Sardis Crossing Drive, Charlotte, NC 28270"
Strayer University at Verizon Communications Basking Ridge,Additional Location,"1 Verizon Way, Basking Ridge, NJ 07920"
"Strayer University at Verizon Wireless, Elgin",Additional Location,"777 Big Timber Road, Elgin, IL 60123"
Strayer University - Rockville Campus,Additional Location,"1803 Research Blvd, Rockville, MD 20850"
Strayer University - Willingboro Campus,Additional Location,"Strayer University at Burlington County College, Willingboro, NJ 08046"
Strayer University - Virginia Beach Campus,Additional Location,"222 Central Park Avenue, Suite 210,, Virginia Beach, VA 23462"
Strayer University - Virginia Beach Campus,Additional Location,"222 Central Park Avenue, Suite 210,, Virginia Beach, VA 23462"
National Conservatory of Dramatic Arts,Institution,"1556 Wisconsin Ave NW, Washington, DC 20007"
Trinity Washington University,Institution,"125 Michigan Ave NE, Washington, DC 20017-1094"
Trinity Washington University at THEARC,Additional Location,"1901 Mississippi Ave., S.E, Washington, DC 20020"
Trinity Washington University at District Medical Veterans Center,Additional Location,"50 Irving Street NW, Washington, DC 20422"
Wesley Theological Seminary,Institution,"4500 Massachusetts Ave NW, Washington, DC 20016-5632"
Wyotech - Daytona Beach,Institution,"3042 W International Speedway Blvd, Daytona Beach, FL 32124"
The Art Institute of Fort Lauderdale Inc,Institution,"1799 SE 17th St, Fort Lauderdale, FL 33316-3000"
Atlantic Technical College,Institution,"4700 Coconut Creek Parkway, Coconut Creek, FL 33063"
"Atlantic Technical Center - Arthur Ashe, Jr. Campus",Additional Location,"1701 NW 23rd Avenue, Fort Lauderdale, FL 33311"
The Baptist College of Florida,Institution,"5400 College Dr, Graceville, FL 32440"
Orlando Site,Additional Location,"3000 S. John Young Pkwy, Orlando, FL 32805-6691"
Jacksonville Site,Additional Location,"1230 Hendricks Ave., Jacksonville, FL 32207"
Pensacola Site,Additional Location,"1836 East Olive Rd., Pensacola, FL 32514"
Live Oak First Baptist Church,Additional Location,"401 Howard St W, Live Oak, FL 32064"
Barry University,Institution,"11300 NE 2nd Ave, Miami Shores, FL 33161-6695"
Barry University Department of Theology and Philosophy Theology Program at Southeast Pastoral Institute,Additional Location,"7700 SW 56 Street, Miama, FL 33155"
Barry University Department of Theology and Philosophy Theology Program at The Edmund Rice School for Pastoral Ministry,Additional Location,"10299 SW Peace River Street, Arcadia, FL 34269"
North Fork Elementary School,Additional Location,"101 NW 15 Avenue, Ft. Lauderdale, FL 33311"
"Orlando (South), Sand Lake",Additional Location,"Florida Mall Business Center 1650 Sand Lake Rd, St, Orlando, FL 32809"
Palm Beach Gardens,Additional Location,"9123 N Military Trail Suite 206, Palm Beach Gardens, FL 33410"
School of Law,Additional Location,"6441 E. Colonial Drive, Orlando, FL 32807"
South Dade,Additional Location,"Professional Village 8990 SW 97 Avenue, Miami, FL 33176"
Springview Elementary School,Additional Location,"1122 Bluebird Avenue, Miami Springs, FL 33166"
Tallahassee,Additional Location,"325 John Knox Rd. Bldg. A, Tallahassee, FL 32303"
Treasure Coast,Additional Location,"337 SE Port St. Lucie Blvd, Port St. Lucie, FL 34984"
USF St. Petersburg,Additional Location,"University Center 9200 113 Street N, Seminole, FL 33772"
WXEL,Additional Location,"3401 S Congress Ave, Boynton Beach, FL 33426"
Wesley Matthews Elementary,Additional Location,"12345 SW 18 Terrace, Miami, FL 33175"
Brevard,Additional Location,"630 S. Wickham Road, W. Melbourne, FL 32904"
Central Florida CC Univ Center,Additional Location,"3001 SW College Rd, Ocala, FL 34474"
Claude Pepper Elementary,Additional Location,"14550 SW 96 Street, Miami, FL 33186"
Edison Univ Center,Additional Location,"8099 College Pkwy Bldg Q, Suite 103, Ft. Myers, FL 33919"
Florida Keys Comm Coll,Additional Location,"5901 College Road, Key West, FL 33040"
Ft. Lauderdale,Additional Location,"1835 S. Perimeter Road Suite 170, Ft. Lauderdale, FL 33309"
"Orlando (East), Alafaya",Additional Location,"2000 N Alafaya Trail Ste 600, Orlando, FL 32826"
Pembroke Pines (Broward),Additional Location,"18055 NW 8 Street Suite 103, Pembroke Pines, FL 33029"
Plantation HS,Additional Location,"6901 NW 16 Street, Plantation, FL 33313"
Boynton Beach,Additional Location,"701 N Congress Ave Suite 15, Boynton Beach, FL 33426"
Brevard,Additional Location,"135 E. Merritt Avenue, Merritt Island, FL 32953"
Broward Comm Coll,Additional Location,"College Avenue, Davie, FL 33314"
Coral Springs Charter School,Additional Location,"3205 University Drive, Coral Springs, FL 33065"
Cutler Ridge,Additional Location,"18958 South Dixie Hwy., Miami, FL 33157"
Davie - Atrium,Additional Location,"Atrium Exec. Center 4801 S University Dr, Ste 114, Davie, FL 33328"
East Orlando,Additional Location,"7021 University Blvd., Winter Park, FL 32792"
Fort Myers - Sunrise Building,Additional Location,"12381 S Cleveland Ave Ste 502, Ft. Myers, FL 33907"
Miami Dade Coll,Additional Location,"500 College Terrace, Homestead, FL 33030"
Miami Dade Coll,Additional Location,"Coral Way Elementary 1950 SW 13 Avenue, Miami, FL 33145"
Miami Dade Coll North,Additional Location,"MS/BU Charter School 11441 NW 2nd Avenue, Miami Shores, FL 33168"
Miami Dade Coll-Kendall,Additional Location,"Barry University South 8990-B SW 97th Ave, Miami, FL 33176"
Miami Killian Senior,Additional Location,"10655 SW 97 Avenue, Miami, FL 33176"
Michigan Elementary School,Additional Location,"4312 Michigan Avenue, Ft. Myers, FL 33907"
West Dade,Additional Location,"8070 NW 53 Street Suite 100, Miami, FL 33166"
Barry University College of Health Sciences,Site,"421 N. 21st Avenue, Hollywood, FL 33020"
"Bay Medical Center, Sacred Heart System Gooding Institute of Nurse Anesthesia",Institution,"615 N Bonita Ave, Panama City, FL 32401"
Bethune - Cookman University,Institution,"640 Dr Mary McLeod Bethune Blvd, Daytona Beach, FL 32114-3099"
John W Miller Branch Campus,Additional Location,"7645 State Road 207 PO Box 637, Hastings, FL 32145"
Lynn University,Institution,"3601 N. Military Trail, Boca Raton, FL 33431-5598"
"GUTI, The Premier Beauty and Wellness Academy - Bradenton",Institution,"4212 Cortez Road West, Bradenton, FL 34210"
"GUTI, The Premier Beauty and Wellness Academy - Sebring",Additional Location,"135 U.S. Highway 27 North, Sebring, FL 33872"
GUTI The Premier Beauty and Wellness Academy,Additional Location,"1026 East Brandon Boulevard, Brandon, FL 33511"
North Florida Technical College,Institution,"609 N Orange St, Starke, FL 32091"
North Florida Technical College,Additional Location,"5025 State Road 230, Starke, FL 32091"
"North Florida Technical College, Florida State Prison",Additional Location,"23916 NW 83rd Avenue, Raiford, FL 32083"
"North Florida Technical College, Lawtey Correctional Institution",Additional Location,"22298 NE County Road 200B, Lawtey, FL 32058"
Eastern Florida State College,Institution,"3865 North Wickam Road, Melbourne, FL 32935"
Titusville Campus,Additional Location,"1311 North US 1, Titusville, FL 32796"
Virtual Campus,Additional Location,"1311 North US 1, Titusville, FL 32796"
Health Sciences Campus,Additional Location,"1519 Clearlake Road, Cocoa, FL 32922"
Cocoa Campus,Additional Location,"1519 Clearlake Road, Cocoa, FL 32922"
Melbourne Campus,Additional Location,"3865 North Wickham Road, Melbourne, FL 32935"
Palm Bay Campus,Additional Location,"250 Community College Parkway, Palm Bay, FL 32909"
Broward College,Institution,"225 E las Olas Blvd, Fort Lauderdale, FL 33301"
Tigertail Campus,Additional Location,"5000 Ravenswood Rd, Dania, FL 33312"
A. Hugh Adams Central Campus,Additional Location,"3501 SW Davie Rd, Davie, FL 33314"
Judson A. Samuels South Campus,Additional Location,"7200 Hollywood Pines Blvd, Pembroke Pines, FL 33024"
North Campus,Additional Location,"1000 Coconut Creek Blvd, Coconut Creek, FL 33066"
Fortis College- Winter Park,Institution,"1573 W. Fairbanks Ave, Winter Park, FL 32789"
